year,name,rank,countrycode,networthusbillion,typeofwealth,gender,age,industry,companytype,relationshiptocompany
2014,Alicia Koplowitz,828,ESP,2.1,inherited,female,59,Constrution,aquired,relation
2014,Alijan Ibragimov,1046,KAZ,1.7,privatized and resources,male,60,Mining and metals,new,founder
2014,Aliko Dangote,23,NGA,25,founder non-finance,male,56,Constrution,new,founder and CEO
2014,Alisher Usmanov,40,RUS,18.6,privatized and resources,male,60,Non-consumer industrial,new,founder
2014,Allan Gray,1284,ZAF,1.3,self-made finance,male,76,Other,new,founder
2014,Allan Slaight,1356,CAN,1.3,executive,male,81,Media,aquired,owner
2014,Allan Wong,1284,HKG,1.3,founder non-finance,male,64,Technology-Computer,new,founder
2014,Aloke Lohia,1465,THA,1.1,founder non-finance,male,55,Non-consumer industrial,new,founder
2014,Aloys Wobben,408,DEU,3.7,privatized and resources,male,62,Energy,new,founder
2001,Aloysio de Andrade Faria,167,BRA,2.8,inherited,male,80,Money Management,new,relation
2014,Aloysio de Andrade Faria,483,BRA,3.3,inherited,male,93,Money Management,new,relation
1996,Alvaro Noboa,325,ECU,1.2,inherited,male,0,Consumer,new,relation
2014,Alvaro Saieh Bendeck,931,CHL,1.9,self-made finance,male,64,Money Management,new,Chairman
2001,Amalia Lacroze de Fortabat,490,ARG,1,inherited,female,,Constrution,new,relation
2001,Amancio Ortega,43,ESP,6.6,founder non-finance,male,65,Consumer,new,founder
2014,Amancio Ortega,3,ESP,64,founder non-finance,male,77,"Retail, Restaurant",new,founder
2014,Americo Amorim,267,PRT,5.3,inherited,male,79,Energy,new,relation
1996,Amos Hosetter Jr,319,USA,1.3,founder non-finance,male,59,Media,new,founder
2001,Amos Hosetter Jr,130,USA,3.3,founder non-finance,male,64,Media,new,founder
2014,"Amos Hostetter, Jr.",551,USA,3,founder non-finance,male,77,Media,new,founder
2014,An Kang,1565,CHN,1,founder non-finance,male,65,Technology-Medical,new,founder
2014,Ana Lucia de Mattos Barretto Villela,1465,BRA,1.1,inherited,female,40,Money Management,new,relation
1996,Ana Maria Brescia Cafferata,401,PER,1,inherited,female,0,Mining and metals,new,relation
2014,Ana Maria Brescia Cafferata,1143,PER,1.6,inherited,female,89,Mining and metals,new,relation
2014,Ana Maria Marcondes Penido Sant'Anna,1143,BRA,1.6,inherited,female,58,Other,new,relation
1996,Anacleto Angelini,150,CHL,2.3,privatized and resources,male,82,Energy,new,founder
1996,Ananda Krishnan,265,MYS,1.5,founder non-finance,male,57,Media,new,founder
2001,Ananda Krishnan,490,MYS,1,founder non-finance,male,62,Media,new,founder
2014,Ananda Krishnan,100,MYS,11.3,founder non-finance,male,75,Media,new,founder
2014,Anas Sefrioui,1356,MAR,1.3,self-made finance,male,56,Real Estate,new,founder
2014,Anatoly Lomakin,1210,RUS,1.4,privatized and resources,male,61,Consumer,privatization,owner
2014,Anatoly Sedykh,1465,RUS,1.1,privatized and resources,male,49,Non-consumer industrial,new,founder
2014,Anders Holch Povlsen,267,DEN,5.3,inherited,male,41,"Retail, Restaurant",new,relation
2014,Andre Esteves,520,BRA,3.1,self-made finance,male,45,Money Management,new,founder
2001,Andre Kudelski,292,CHE,1.7,inherited,male,,Technology-Computer,new,relation
2014,Andrea Della Valle,1092,ITA,1.6,executive,male,48,Consumer,new,relation
2014,Andrea Reimann-Ciardelli,1565,USA,1,inherited,female,,Consumer,aquired,relation
2014,Andreas Halvorsen,796,NOR,2.2,self-made finance,male,52,Hedge funds,new,founder and ceo
2014,Andreas Struengmann,446,DEU,3.5,founder non-finance,male,64,Technology-Medical,new,founder
2014,Andreas von Bechtolsheim,396,DEU,3.8,founder non-finance,male,58,Technology-Computer,new,founder
2014,Andrei Bokarev,1154,RUS,1.5,privatized and resources,male,47,Energy,new,president
2014,Andrei Filatov,1372,RUS,1.2,self-made finance,male,42,Real Estate,new,founder
2014,Andrei Guriev,466,RUS,3.4,privatized and resources,male,53,Consumer,privatization,chairman
2014,Andrei Klyamko,931,RUS,1.9,privatized and resources,male,52,Non-consumer industrial,new,owner
2014,Andrei Kosogov,1046,RUS,1.7,privatized and resources,male,52,Energy,new,supervisory board or directors
2014,Andrei Kozitsyn,931,RUS,1.9,privatized and resources,male,53,Mining and metals,privatization,president
2014,Andrei Kuzyaev,1442,RUS,1.2,privatized and resources,male,48,Media,new,founder
2014,Andrei Molchanov,1284,RUS,1.3,privatized and resources,male,42,Constrution,privatization,founder
2014,Andrei Rappoport,1465,RUS,1.1,self-made finance,male,50,Diversified financial,aquired,founder
2014,Andrei Skoch,162,RUS,8.2,privatized and resources,male,48,Non-consumer industrial,new,partner
2014,Andrej Babis,731,CZE,2.4,executive,male,59,Consumer,new,owner and former CEO
2014,Andrew Beal,109,USA,10.9,self-made finance,male,61,Money Management,new,founder
2014,Andrew Cherng,1270,USA,1.4,founder non-finance,male,,"Retail, Restaurant",new,founder
2014,Andrew Forrest,270,AUS,5.2,privatized and resources,male,52,Mining and metals,new,Chairman
1996,Andrew Gotianun,149,PHL,2.4,self-made finance,male,0,Real Estate,new,founder
2014,Andrew Gotianun,1565,PHL,1,self-made finance,male,86,Real Estate,new,founder
2001,Andrew McKelvey,312,USA,1.6,founder non-finance,male,,Technology-Computer,new,founder
2014,Andrew Tan,319,PHL,4.7,self-made finance,male,61,Diversified financial,new,Chairman and Chief Executive Officer
