year,name,rank,countrycode,networthusbillion,typeofwealth,gender,age,industry,companytype,relationshiptocompany
2014,Kavitark Ram Shriram,973,USA,1.9,self-made finance,male,57,Venture Capital,new,investor
1996,Kazuo Inamori,355,JPN,1.1,founder non-finance,male,0,Technology-Computer,new,founder
1996,Kazuo Matsuda,165,JPN,2.2,self-made finance,male,0,Money Management,new,founder
2001,Kazuo Okada,116,JPN,3.5,self-made finance,male,58,Real Estate,new,founder
2014,Kazuo Okada,1270,JPN,1.4,self-made finance,male,71,Real Estate,new,founder
2014,Ke Xiping,1465,CHN,1.1,self-made finance,male,53,Diversified financial,new,founder
2014,Keeree Kanjanapas,1270,THA,1.4,self-made finance,male,64,Real Estate,new,founder
2014,Keiichiro Takahara,446,JPN,3.5,founder non-finance,male,82,Consumer,new,founder
2001,Keith McCaw,452,USA,1.1,executive,male,,Media,new,relation
1996,Keizo Saji,84,JPN,3.2,inherited,male,0,Consumer,new,relation
2014,Kelcy Warren,340,USA,4.4,executive,male,58,Non-consumer industrial,new,Chairman and Chief Executive Officer
2001,Kemal Uzan,312,TUR,1.6,privatized and resources,male,66,Diversified financial,new,founder
2014,Ken Fisher,731,USA,2.4,self-made finance,male,63,Money Management,new,founder
2014,Ken Griffin,270,USA,5.2,self-made finance,male,45,Hedge funds,new,founder
1996,Kenichi Mabuchi,354,JPN,1.1,founder non-finance,male,-7,Non-consumer industrial,new,founder
2001,Kenichi Mabuchi,272,JPN,1.8,founder non-finance,male,48,Non-consumer industrial,new,founder
1996,Kenkichi Nakajima,248,JPN,1.6,founder non-finance,male,0,Consumer,new,founder
2001,Kenkichi Nakajima,452,JPN,1.1,founder non-finance,male,,Consumer,new,founder
2014,Kenneth Feld,988,USA,1.8,inherited,male,65,Media,aquired,relation
2001,Kenneth Langone,387,USA,1.3,self-made finance,male,65,Money Management,new,founder
2014,Kenneth Langone,764,USA,2.3,self-made finance,male,78,Diversified financial,new,founder
2001,Kenneth Morrison,292,GBR,1.7,inherited,male,69,"Retail, Restaurant",new,relation
1996,Kenneth Thomson,14,CAN,7.4,inherited,male,72,Media,acquired,relation
2001,Kenneth Thomson,14,CAN,16.4,inherited,male,77,Media,acquired,relation
1996,Kenneth Troutt,292,USA,1.4,founder non-finance,male,48,Media,new,founder
2001,Kenneth Troutt,336,USA,1.5,founder non-finance,male,53,Media,new,founder
1996,Kenneth Tuchman,411,USA,1,founder non-finance,male,0,Media,new,founder
2014,Kenneth Tuchman,1565,USA,1,founder non-finance,male,54,"Retail, Restaurant",new,founder
2014,Kenny Troutt,1284,USA,1.3,founder non-finance,male,66,Media,new,founder
1996,Kenshin Oshima,262,JPN,1.5,self-made finance,male,48,Money Management,new,president
2014,Kerr Neilson,551,AUS,3,self-made finance,male,64,Diversified financial,new,founder
1996,Kerry Packer,218,AUS,1.8,inherited,male,58,Media,aquired,relation
2001,Kerry Packer,182,AUS,2.5,inherited,male,63,Media,aquired,relation
2014,Kerry Stokes,1046,AUS,1.7,executive,male,73,Media,aquired,investor
2014,Kevin Plank,731,USA,2.4,founder non-finance,male,41,Consumer,new,founder
2001,Khalid Bin Mahfouz,251,SAU,1.9,inherited,male,54,Money Management,new,relation
1996,Khoo Teck Puat,97,SGP,3,self-made finance,male,79,Real Estate,new,founder
2001,Khoo Teck Puat,151,SGP,3,self-made finance,male,84,Real Estate,new,founder
2014,Kim Jung-Ju,1355,KOR,1.3,founder non-finance,male,46,Technology-Computer,new,founder
2001,Kim Magness,336,USA,1.5,inherited,male,,Media,new,relation
1996,Kim Suk-won,359,KOR,1.1,,,0,Diversified financial,,,,,,,,,,,,,,
2014,Kim Taek-Jin,1540,KOR,1.1,founder non-finance,male,,,new,founder
1996,Kim Woo-choong,157,KOR,2.3,privatized and resources,male,0,Diversified financial,new,founder
1996,Kirk Kerkorian,76,USA,3.4,self-made finance,male,78,Real Estate,aquired,investor
2001,Kirk Kerkorian,46,USA,6.4,self-made finance,male,83,Real Estate,aquired,investor
2014,Kirk Kerkorian,328,USA,4.5,self-made finance,male,96,Real Estate,aquired,investor
2001,Kirsten Rausing,31,SWE,9,inherited,female,,Consumer,new,relation
2014,Kirsten Rausing,278,SWE,5.1,inherited,female,61,Consumer,new,relation
1996,Kjeld Kirk Kristiansen,158,DNK,2.3,inherited,male,48,Consumer,new,relation
2001,Kjeld Kirk Kristiansen,251,DNK,1.9,inherited,male,53,Consumer,new,relation
2014,Kjeld Kirk Kristiansen,119,DEN,10.2,inherited,male,66,Consumer,new,relation
2014,Kjell Inge Rokke,687,NOR,2.5,executive,male,55,Other,aquired,owner
1996,Klaus Jacobs,286,CHE,1.4,inherited,male,0,Consumer,new,relation
2001,Klaus Jacobs,167,CHE,2.8,inherited,male,,Consumer,new,relation
1996,Klaus Tschira,245,DEU,1.6,founder non-finance,male,55,Technology-Computer,new,founder
2001,Klaus Tschira,179,DEU,2.6,founder non-finance,male,60,Technology-Computer,new,founder
2014,Klaus Tschira,177,DEU,7.5,founder non-finance,male,73,Technology-Computer,new,founder
2014,Klaus-Michael Kuehne,113,DEU,10.4,inherited,male,76,Other,new,relation
2014,Koh Wee Meng,1372,SGP,1.2,self-made finance,male,50,Real Estate,new,founder
2014,Konstantin Grigorishin,1356,RUS,1.3,privatized and resources,male,48,Energy,new,founder
2014,Konstantin Nikolaev,1372,RUS,1.2,self-made finance,male,42,Real Estate,new,founder
2014,Koo Bon-Moo,1154,KOR,1.5,inherited,male,69,Technology-Computer,new,relation
2014,Koo Bon-Neung,1465,KOR,1.1,inherited,male,64,Technology-Computer,new,relation
1996,Koo Cha-kyung,105,KOR,2.9,inherited,male,0,Diversified financial,new,relation
2001,Koo Chen-fu,363,Taiwan,1.4,self-made finance,male,,Diversified financial,new ,founder
2014,Koos Bekker,1284,ZAF,1.3,founder non-finance,male,61,Media,new,founder
2014,Kostyantin Zhevago,1372,UKR,1.2,privatized and resources,male,40,Mining and metals,privatization,founder
1996,Krit Ratanarak,287,THA,1.4,inherited,male,49,Media,new,relation
2014,Krit Ratanarak,609,THA,2.8,inherited,male,67,Media,new,relation
1996,Kumar Birla,175,IND,2.1,inherited,male,28,Mining and metals,new,relation
2001,Kumar Birla,292,IND,1.7,inherited,male,33,Mining and metals,new,relation
2014,Kumar Birla,191,IND,7,inherited,male,46,Mining and metals,new,relation
1996,Kunio Busujima,249,JPN,1.6,founder non-finance,male,-42,"Retail, Restaurant",new,founder
2001,Kunio Busujima,421,JPN,1.2,founder non-finance,male,33,"Retail, Restaurant",new,founder
2014,Kunio Busujima,295,JPN,4.9,founder non-finance,male,88,"Retail, Restaurant",new,founder
2014,Kuok Khoon Hong,764,SGP,2.3,privatized and resources,male,64,Mining and metals,new,founder
2014,Kushal Pal Singh,551,IND,3,inherited,male,82,Real Estate,new,relation and chairman
2014,Kutayba Alghanim,1356,KWT,1.3,inherited,male,68,Diversified financial,new,relation
2014,Kwee brothers,270,SGP,5.2,inherited,male,69,Real Estate,new,relation
1996,Kwek Leng Beng,23,SGP,5.7,inherited,male,55,Diversified financial,new,relation
2001,Kwek Leng Beng,312,SGP,1.6,inherited,male,60,Diversified financial,new,relation
2014,Kwek Leng Beng,731,SGP,2.4,inherited,male,73,Diversified financial,new,relation
1996,Kyosuke Kinoshita,91,JPN,3.1,inherited,male,55,Money Management,new,relation
2001,Kyosuke Kinoshita,55,JPN,5.6,inherited,male,60,Money Management,new,relation
2014,Lachhman Das Mittal,1465,IND,1.1,founder non-finance,male,83,Consumer,new,founder
1996,Lakshmi Mittal,261,IND,1.5,inherited,male,45,Energy,new,founder
2001,Lakshmi Mittal,272,GBR,1.8,inherited,male,50,Energy,new,founder
2014,Lakshmi Mittal,52,IND,16.7,inherited,male,63,Non-consumer industrial,new,founder
2014,Lam Fong Ngo,1565,MAC,1,self-made finance,female,,Real Estate,new,Vice Chairman
2014,Lam Kong,1154,CHN,1.5,founder non-finance,male,49,Technology-Medical,new,founder
2014,Lang Walker,1372,AUS,1.2,self-made finance,male,68,Real Estate,new,founder
1996,Larragoiti family,384,BRA,1,inherited,,0,Hedge funds,new,,,,,,,,,,,,,
1996,Larry Ellison,19,USA,6,founder non-finance,male,51,Technology-Computer, new,founder
2001,Larry Ellison,4,USA,26,founder non-finance,male,56,Technology-Computer, new,founder
2014,Larry Ellison,5,USA,48,founder non-finance,male,69,Technology-Computer, new,founder
2014,Larry Page,17,USA,32.3,founder non-finance,male,40,Technology-Computer, new,founder
2014,Larry Robbins,1210,USA,1.4,self-made finance,male,44,Hedge funds,new,founder
2014,Lars Larsen,375,DEN,4,founder non-finance,male,65,"Retail, Restaurant",new,founder and CEO
1996,Laurance Rockefeller,413,USA,1,inherited,male,85,Mining and metals,new,relation
2001,Laurance Rockefeller,336,USA,1.5,inherited,male,90,Mining and metals,new,relation
2014,Laurence Graff,305,GBR,4.8,founder non-finance,male,75,Consumer,new,founder
1996,Laurence Tisch,209,USA,2,founder non-finance,male,0,Consumer,new,founder
2001,Laurence Tisch,194,USA,2.4,founder non-finance,male,,Consumer,new,founder
2014,Laurene Powell Jobs,73,USA,14,inherited,female,50,Technology-Computer,new,relation
2014,Laurent Burelle,1465,FRA,1.1,inherited,male,64,Consumer,new,relation
2014,Law Kar Po,642,HKG,2.7,self-made finance,male,66,Real Estate,new,founder
2001,Lawrence Flinn Jr,292,USA,1.7,executive,male,,Media,aquired,investor 
2014,Lawrence Ho,551,HKG,3,inherited,male,37,Real Estate,new,relation
2014,Lawrence Stroll,731,CAN,2.4,executive,male,54,"Retail, Restaurant",new,chairman
2014,Leandro Rizzuto,609,USA,2.8,founder non-finance,male,75,Consumer,new,founder
1996,Lee Bass,169,USA,2.2,inherited,male,39,Energy,new,relation
2001,Lee Bass,92,USA,4.3,inherited,male,44,Energy,new,relation
2014,Lee Bass,828,USA,2.1,inherited,male,57,Energy,new,relation
2014,Lee Boo-Jin,1284,KOR,1.3,inherited,female,43,Technology-Computer,new,relation
2014,Lee Hae-Jin,1442,KOR,1.2,founder non-finance,male,46,Technology-Computer,new,owner
1996,Lee Hon Chiu,221,HKG,1.8,inherited,male,0,Real Estate,new,relation
2001,Lee Hon Chiu,490,HKG,1,inherited,male,,Real Estate,new,relation
2014,Lee Hwa-Kyung,1270,KOR,1.4,inherited,female,58,Media,new,relation
2014,Lee Jay-Hyun,1092,KOR,1.6,inherited,male,53,Media,subsidiary,relation
2014,Lee Joong-Keun,1046,KOR,1.7,founder non-finance,male,73,Technology-Computer,new,founder
1996,Lee Kun-Hee,37,KOR,4.9,inherited,male,0,Technology-Computer,new,relation
2001,Lee Kun-Hee,312,KOR,1.6,inherited,male,59,Technology-Computer,new,relation
2014,Lee Kun-Hee,102,KOR,11.1,inherited,male,72,Technology-Computer,new,relation
2014,Lee Man Tat,1284,HKG,1.3,inherited,male,85,Consumer,new,relation
2014,Lee Myung-Hee,1046,KOR,1.7,inherited,female,70,"Retail, Restaurant",subsidiary,relation
1996,Lee Seng Wee,178,SGP,2.1,inherited,male,71,Money Management,new,chairman
2001,Lee Seng Wee,421,SGP,1.2,inherited,male,76,Money Management,new,chairman
2014,Lee Seo-Hyun,1442,KOR,1.2,inherited,female,40,Technology-Computer,new,relation
1996,Lee Shau Kee,4,HKG,12.7,self-made finance,male,68,Real Estate,new,founder/chairman
2001,Lee Shau Kee,52,HKG,5.9,self-made finance,male,73,Real Estate,new,founder/chairman
2014,Lee Shau Kee,35,HKG,19.6,self-made finance,male,86,Diversified financial,new,founder/chairman
2014,Lee Shin Cheng,345,MYS,4.3,privatized and resources,male,74,Mining and metals,new,founder and chairman
2014,Lei Jufang,1210,CHN,1.4,founder non-finance,female,61,Technology-Medical,new,founder
2014,Lei Jun,375,CHN,4,founder non-finance,male,44,Consumer,new,founder
1996,Leibbrand family,326,DEU,1.2,,,0,"Retail, Restaurant",,,,,,,,,,,,,,
1996,Lemos family,94,GRC,3,inherited,,0,Money Management,new,,,,,,,,,,,,,
2014,Len Ainsworth,1210,AUS,1.4,founder non-finance,male,90,Consumer,new,founder
2014,Len Blavatnik,39,USA,18.7,self-made finance,male,56,Diversified financial,new,founder
2014,Len Buckeridge,1372,AUS,1.2,founder non-finance,male,77,Constrution,new,founder
1996,Leo Kirch,118,DEU,2.6,founder non-finance,male,0,Media,new,founder
2001,Leo Kirch,20,DEU,12,founder non-finance,male,,Media,new,founder
2014,Leon Black,240,USA,5.8,self-made finance,male,62,Private equity/leveraged buyout,new,founder
2014,Leon Charney,1565,USA,1,self-made finance,male,72,Real Estate,new,investor
1996,Leon Feffer,349,BRA,1.1,founder non-finance,male,0,Consumer,new,founder
2014,Leon G. Cooperman,446,USA,3.5,self-made finance,male,70,Hedge funds,new,founder
2001,Leona Helmsley,251,USA,1.9,self-made finance,female,81,Real Estate,aquired,investor 
1996,Leonard Lauder,181,USA,2.1,inherited,male,62,Consumer,new,relation
2001,Leonard Lauder,104,USA,3.8,inherited,male,67,Consumer,new,relation
2014,Leonard Lauder,177,USA,7.5,inherited,male,80,Consumer,new,relation
2014,Leonard Schleifer,1565,USA,1,founder non-finance,male,61,Technology-Medical,new,founder
2001,Leonard Stern,194,USA,2.4,inherited,male,62,Real Estate,new,relation
2014,Leonard Stern,354,USA,4.2,inherited,male,75,Real Estate,new,relation
1996,Leonardo Del Vecchio,153,ITA,2.3,founder non-finance,male,60,Consumer,new,founder
2001,Leonardo Del Vecchio,43,ITA,6.6,founder non-finance,male,65,Consumer,new,founder
2014,Leonardo Del Vecchio,38,ITA,19.2,founder non-finance,male,78,Consumer,new,founder
2014,Leonid Fedun,208,RUS,6.5,privatized and resources,male,57,Energy,new,Vice President
2014,Leonid Mikhelson,57,RUS,15.6,privatized and resources,male,58,Energy,new,chairman of management committee
2014,Leonid Simanovsky,1372,RUS,1.2,self-made finance,male,64,Diversified financial,new,founder
2001,Leslie Gonda,272,USA,1.8,founder non-finance,male,81,Consumer,new,founder
1996,Leslie Wexner,316,USA,1.3,founder non-finance,male,44,Consumer,new,founder
2001,Leslie Wexner,162,USA,2.9,founder non-finance,male,59,Consumer,new,founder
2014,Leslie Wexner,244,USA,5.7,founder non-finance,male,76,Consumer,new,founder
1996,Lester Crown,204,USA,2,inherited,male,70,Money Management,new,relation
2001,Lester Crown,146,USA,3.1,inherited,male,75,Money Management,new,relation
2014,Leszek Czarnecki,731,POL,2.4,self-made finance,male,52,Money Management,new,founder
2014,Lev Kvetnoi,931,RUS,1.9,privatized and resources,male,48,Constrution,privatization,owner
2014,Lev Leviev,1284,ISR,1.3,privatized and resources,male,58,Mining and metals,aquired,owner
2014,Li Denghai,1565,CHN,1,founder non-finance,male,64,Consumer,new,founder
2014,Li Hejun,117,CHN,10.3,privatized and resources,male,46,Energy,new,founder/chairman
1996,Li Ka-shing,7,HKG,10.6,self-made finance,male,67,Real Estate,new,founder
2001,Li Ka-shing,18,HKG,12.6,self-made finance,male,72,Real Estate,new,founder
2014,Li Ka-shing,20,HKG,31,self-made finance,male,85,Diversified financial,new,founder
2014,Li Li,1372,CHN,1.2,founder non-finance,male,50,Technology-Medical,new,founder
2014,Li Shufu,973,CHN,1.9,founder non-finance,male,50,Consumer,new,founder
2014,Li Shuirong,1565,CHN,1,executive,male,57,Non-consumer industrial,new,chairman
2014,Li Sze Lim,869,HKG,2,self-made finance,male,57,Real Estate,new,founder and chairman
2014,Li Zhongchu,973,CHN,1.9,founder non-finance,male,50,Technology-Computer,new,founder
2014,Lia Maria Aguiar,1372,BRA,1.2,inherited,female,76,Money Management,new,relation
2014,Liang Wengen,345,CHN,4.3,founder non-finance,male,57,Non-consumer industrial,new,founder
2014,Liang Xinjun,1092,CHN,1.6,self-made finance,male,46,Diversified financial,new,founder
2014,Liang Yunchao,731,CHN,2.4,founder non-finance,male,45,Consumer,new,founder
2014,Liao Long-Shing,931,Taiwan,1.9,inherited,male,,Non-consumer industrial,new,relation
1996,Liem Sioe Liong,46,IDN,4.5,self-made finance,male,0,Diversified financial,new,founder
2014,Lilian Werninghaus,1284,BRA,1.3,inherited,female,79,Non-consumer industrial,new,relation
1996,Liliane Bettencourt,33,FRA,5,inherited,female,73,Consumer,new,relation
2001,Liliane Bettencourt,15,FRA,15.6,inherited,female,78,Consumer,new,relation
2014,Liliane Bettencourt,11,FRA,34.5,inherited,female,91,Consumer,new,relation
2014,Lily Safra,1284,MCO,1.3,inherited,female,76,Money Management,new,relation
1996,Lim Goh Tong,114,MYS,2.7,self-made finance,male,78,Diversified financial,new,founder
2014,Lim Hariyanto Wijaya Sarwono,1565,IDN,1,privatized and resources,male,86,Mining and metals,new,founder
2014,Lim Oon Kuin,988,SGP,1.8,privatized and resources,male,70,Energy,new,founder
2014,Lin Li,1270,CHN,1.4,self-made finance,male,50,Diversified financial,new,founder
2014,Lin Ming-Hsiung,1565,Taiwan,1,privatized and resources,male,64,"Retail, Restaurant",privatization,owner
2014,Lin Rong San,354,Taiwan,4.2,self-made finance,male,74,Real Estate,new,founder
2014,Lin Xiucheng,1046,CHN,1.7,executive,male,58,Technology-Computer,new,chairman
2014,Lin Yu-lin,466,Taiwan,3.4,self-made finance,male,78,Real Estate,new,founder
2014,Lina Maria Aguiar,1210,BRA,1.4,inherited,female,76,Money Management,new,relation
2014,Linda Pritzker,988,USA,1.8,inherited,female,60,Real Estate,aquired,relation
2014,Lindsay Fox,796,AUS,2.2,founder non-finance,male,76,Other,new,founder
2014,Lirio Parisotto,931,BRA,1.9,self-made finance,male,60,Diversified financial,new,founder
2014,Liselott Persson,305,SWE,4.8,inherited,female,64,Consumer, new,inherited
2014,Liu Baolin,988,CHN,1.8,executive,male,60,Technology-Medical,new,chairman
2014,Liu Gexin,1540,CHN,1.1,founder non-finance,male,62,Technology-Medical,new,founder
2014,Liu Ming Chung,1540,BRA,1.1,founder non-finance,male,51,Consumer,new,founder
2014,Liu Qiangdong,642,CHN,2.7,founder non-finance,male,39,Technology-Computer,new,founder
2014,Liu Xiaomeng,1565,CHN,1,executive,female,59,"Retail, Restaurant",new,investor
2014,Liu Xuejing,1372,CHN,1.2,privatized and resources,male,63,Mining and metals,new,owner
2014,Liu Yonghao,506,CHN,3.2,founder non-finance,male,62,Consumer,new,founder
2014,Liu Yongxing,256,CHN,5.5,founder non-finance,male,65,Consumer,new,founder
2014,Liu Zhenfeng,1465,CHN,1.1,privatized and resources,male,52,Energy,new,owner
2014,Liu Zhenguo,1442,CHN,1.2,executive,male,49,0,new,Vice Chairman
2014,Liu Zhongtian,828,CHN,2.1,founder non-finance,male,50,Non-consumer industrial,new,founder and chairman
1996,Lo Ying Shek,246,HKG,1.6,self-made finance,male,0,Real Estate,new,founder
2014,Lorenzo Fertitta,1284,USA,1.3,self-made finance,male,45,Real Estate,new,founder
1996,Lorenzo Mendoza,320,VEN,1.3,inherited,male,30,Consumer,new,relation
2001,Lorenzo Mendoza,82,VEN,4.5,inherited,male,35,Consumer,new,relation
2014,Lorenzo Mendoza,446,VEN,3.5,inherited,male,48,Consumer,new,relation
1996,Lorenzo Rossi di Montelera,222,ITA,1.8,inherited,male,0,Consumer,new,relation
1996,Lorenzo Zambrano,330,MEX,1.2,inherited,male,51,Constrution,new,relation
2001,Lorenzo Zambrano,162,MEX,2.9,inherited,male,56,Constrution,new,relation
2014,Louis Bacon,1092,USA,1.6,self-made finance,male,55,Hedge funds,new,founder
2001,Louis Gonda,222,USA,2.1,founder non-finance,male,52,Consumer,new,founder
2014,Louis Le Duff,731,FRA,2.4,founder non-finance,male,67,"Retail, Restaurant",new,founder
2014,Low Tuck Kwong,1284,IDN,1.3,privatized and resources,male,65,Mining and metals,new,founder
2001,Lowry Mays,251,USA,1.9,founder non-finance,male,,Media,new,founder
2014,Lu Guanqiu,446,CHN,3.5,self-made finance,male,69,Diversified financial,new,founder
2014,Lu Xiangyang,506,CHN,3.2,executive,male,51,Consumer,new,vice chairman
2014,Lu Zhiqiang,551,CHN,3,self-made finance,male,61,Diversified financial,new,chairman
1996,Luciano Benetton,194,ITA,2,founder non-finance,male,60,Consumer,new,founder
2001,Luciano Benetton,57,ITA,5.5,founder non-finance,male,65,Consumer,new,founder
2014,Luciano Benetton,580,ITA,2.9,founder non-finance,male,78,Consumer,new,founder
1996,Lucio Tan,166,PHL,2.2,self-made finance,male,61,Money Management,new,founder
2001,Lucio Tan,421,PHL,1.2,privatized and resources,male,66,Money Management,new,founder
2014,Lucio Tan,227,PHL,6.1,privatized and resources,male,79,Diversified financial,new,founder
2014,Ludwig Merckle,152,DEU,8.6,inherited,male,49,Technology-Medical,new,relation
2014,Lui Che Woo,28,HKG,22,self-made finance,male,84,Real Estate,new,founder/chairman
2014,Luis Carlos Sarmiento,72,COL,14.2,self-made finance,male,81,Money Management,aquired,founder
1996,Luis Carlos Sarmiento Angulo,242,COL,1.6,self-made finance,male,63,Money Management,aquired,founder
2001,Luis Carlos Sarmiento Angulo,336,COL,1.5,self-made finance,male,68,Money Management,aquired,founder
2014,Luis Enrique Yarur Rey,1210,CHL,1.4,inherited,male,63,Money Management,new,relation
1996,Luiz Alberto Garcia,323,BRA,1.2,inherited,male,0,Media,new,relation
2014,Luo Fei,1465,CHN,1.1,executive,male,,Consumer,new,ceo
2014,Luo Jye,340,Taiwan,4.4,founder non-finance,male,88,Consumer,new,founder
2014,Lutz Mario Helmig,988,DEU,1.8,founder non-finance,male,67,Technology-Medical,new,founder
2014,Lynda Resnick,1036,USA,1.8,executive,female,,Consumer,aquired,owner
2014,Lynn Schusterman,328,USA,4.5,inherited,female,75,Energy,new,relation
2014,M.A. Yusuff Ali,988,IND,1.8,executive,male,58,"Retail, Restaurant",new,relation
2014,Ma Huateng,80,CHN,13.4,founder non-finance,male,42,Technology-Computer,new,founder
2014,Ma Jianrong,731,CHN,2.4,inherited,male,50,Consumer,new,relative
2014,Ma Xingtian,1442,CHN,1.2,founder non-finance,male,44,Technology-Medical,new,founder
2014,Madeleine Olsson Ericksson,687,SWE,2.5,inherited,female,69,Diversified financial,new,relation
1996,Madeleine Schickedanz,62,DEU,3.8,inherited,female,52,"Retail, Restaurant",new,relation
1996,Maersk McKinney Moller,140,DNK,2.5,inherited,male,82,Diversified financial,new,relation
2001,Maersk McKinney Moller,209,DNK,2.2,inherited,male,87,Diversified financial,new,relation
2014,Magdalena Martullo-Blocher,580,CHE,2.9,inherited,female,45,Non-consumer industrial,aquired,relation and ceo
2014,Maja Oeri,731,CHE,2.4,inherited,female,59,Technology-Medical,new,relative
2014,Majid Al Futtaim,328,ARE,4.5,self-made finance,male,,Real Estate,new,founder
2014,Malcolm Glazer,354,USA,4.2,founder non-finance,male,85,Consumer,new,founder
2001,Malcolm Green Chace III,490,USA,1,founder non-finance,male,,Consumer,new,founder
2014,Malvinder and Shivinder Singh,828,IND,2.1,inherited,male,,Technology-Medical,new,relation
2014,Mangal Prabhat Lodha,1092,IND,1.6,self-made finance,male,58,Real Estate,new,founder
2014,Manuel Jove,731,ESP,2.4,self-made finance,male,72,Real Estate,new,founder
2014,Manuel Lao Hernandez,796,ESP,2.2,founder non-finance,male,69,"Retail, Restaurant",new,founder
2014,Manuel Moroun,1143,USA,1.6,executive,male,86,Other,aquired,chairman
1996,Manuel Villar,198,PHL,2,self-made finance,male,0,Real Estate,new,founder
2014,Marc Benioff,483,USA,3.3,founder non-finance,male,49,Technology-Computer,new,founder
2014,Marc Ladreit de Lacharriere,973,FRA,1.9,self-made finance,male,73,Money Management,new,founder and CEO
2014,Marc Lasry,1046,USA,1.7,self-made finance,male,53,Hedge funds,new,founder
2001,Marc Rich,421,CHE,1.2,self-made finance,male,66,Hedge funds,new,founder
2014,Marc Rowan,580,USA,2.9,self-made finance,male,52,Private equity/leveraged buyout,new,founder
2014,Marcel Adams,1465,CAN,1.1,self-made finance,male,93,Real Estate,new,founder
2014,Marcel Herrmann Telles,119,BRA,10.2,founder non-finance,male,64,Consumer,aquired,founder
2001,Marco Tronchetti Provera,452,ITA,1.1,executive,male,,Consumer,new,Chairman and Chief Executive Officer
1996,Margaret Cargill,275,USA,1.5,inherited,female,76,Diversified financial,new,relation
2014,Margarita Louis-Dreyfus,165,CHE,8.1,inherited,female,50,Mining and metals,new,relation
2001,Marguerite Harbert,421,USA,1.2,inherited,female,77,Other,new,relation
1996,Maria Asuncion Aramburuzabala,284,MEX,1.4,inherited,female,32,Consumer,new,relation
2001,Maria Asuncion Aramburuzabala,272,MEX,1.8,inherited,female,37,Consumer,new,relation
2014,Maria Asuncion Aramburuzabala,270,MEX,5.2,inherited,female,50,Consumer,new,relation
2014,Maria Del Pino y Calvo-Sotelo,1154,ESP,1.5,inherited,female,57,Constrution,new,relation
2014,Maria Helena Moraes Scripilliti,520,BRA,3.1,inherited,female,83,Diversified financial,new,relation
2014,Maria Ines de Lafuente Lacroze,1372,ARG,1.2,inherited,female,69,Constrution,new,relation
2014,Maria Luisa Solari Falabella,663,CHL,2.6,inherited,female,73,"Retail, Restaurant",new,relation
2014,Maria-Elisabeth Schaeffler,430,DEU,3.6,inherited,female,72,Non-consumer industrial,new,relation
2014,Marian Ilitch,1036,USA,1.8,founder non-finance,female,,"Retail, Restaurant",new,founder
2014,Marianne Liebmann,506,USA,3.2,inherited,female,60,Money Management,new,relation
2014,Marie Besnier Beauvalot,642,FRA,2.7,inherited,female,33,Consumer,new,relation
2014,Marie-Jeanne Meyer,1154,FRA,1.5,inherited,female,72,Mining and metals,new,relation
2001,Marilyn Carlson Nelson,363,USA,1.4,inherited,female,62,Real Estate,new,relation
2014,Marilyn Carlson Nelson,340,USA,4.4,inherited,female,74,Real Estate,new,relation
2014,Mario Gabelli,1092,USA,1.6,self-made finance,male,71,Money Management,new,founder
2014,Mario Moretti Polegato,764,ITA,2.3,founder non-finance,male,61,Consumer,new,founder
2001,Marius Nacht,336,ISR,1.5,founder non-finance,male,35,Technology-Computer,new,founder
2014,Marius Nacht,1210,ISR,1.4,founder non-finance,male,48,Technology-Computer,new,founder
2014,Mark Coombs,796,GBR,2.2,self-made finance,male,53,Money Management,new,founder
2001,Mark Cuban,363,USA,1.4,founder non-finance,male,40,Media,new,founder
2014,Mark Cuban,663,USA,2.6,founder non-finance,male,55,Media,new,founder
2001,Mark Dixon,490,GBR,1,founder non-finance,male,,"Retail, Restaurant",new,founder
2014,Mark Dixon,1372,GBR,1.2,self-made finance,male,55,Real Estate,new,founder
2014,Mark Pincus,1465,USA,1.1,founder non-finance,male,48,Technology-Computer,new,founder
2014,Mark Shoen,396,USA,3.8,inherited,male,62,"Retail, Restaurant",new,relation
2014,Mark Stevens,1154,USA,1.5,self-made finance,male,54,Venture Capital,new,partner
2014,Mark Vadon,1270,USA,1.4,founder non-finance,male,43,Technology-Computer,new,founder
2014,Mark Zuckerberg,21,USA,28.5,founder non-finance,male,29,Technology-Computer, new,founder
1996,Martha Ingram,206,USA,2,inherited,female,60,"Retail, Restaurant",new,relation
2001,Martha Ingram,209,USA,2.2,inherited,female,65,"Retail, Restaurant",new,relation
2014,Martha Ingram,388,USA,3.9,inherited,female,78,"Retail, Restaurant",new,relation
2014,Martin & Olivier Bouygues,408,FRA,3.7,inherited,male,,Constrution,new,relation
2001,Martin Bouygues,198,FRA,2.3,inherited,male,49,Media,new,relation
1996,Martin Ebner,269,CHE,1.5,self-made finance,male,0,Money Management,new,founder
2001,Martin Ebner,130,CHE,3.3,self-made finance,male,,Money Management,new,founder
2014,Martin Haefner,796,CHE,2.2,inherited,male,60,Technology-Computer,new,relation
1996,Martin Hilti,263,LIE,1.5,founder non-finance,male,0,Constrution,new,founder
2014,Martin Naughton,796,IRL,2.2,founder non-finance,male,74,Non-consumer industrial,new,founder
2014,Martin Viessmann,663,DEU,2.6,inherited,male,60,Non-consumer industrial,new,relation
2014,Martua Sitorus,1046,IDN,1.7,privatized and resources,male,54,Mining and metals,new,founder
